ID,intensity,duration,listeners,emotional_tone,language,musical_line
Love Maze,150,221,221,mixed,korean,both
Paldogangsan,105,205,24,positive,korean,both
Let Me Know,136,254,68,negative,korean,both
Crystal Snow,114,323,109,positive,japanese,both
BTS Cypher Pt.2: Triptych,142,288,44,mixed,korean,rap
Dream Glow,142,187,146,positive,english,vocal
BTS Cypher Pt.1,97,131,22,positive,korean,rap
A Supplementary Story: You Never Walk Alone,128,156,63,positive,korean,both
Hip Hop Phile,144,257,33,positive,korean,both
Respect,91,237,96,mixed,korean,rap
Just One Day,95,239,206,positive,korean,both
I Need U,158,210,361,negative,korean,both
Trivia 起: Just Dance,125,225,108,positive,korean,rap
Autumn Leaves,105,267,119,negative,korean,both
Awake,143,226,134,mixed,korean,vocal
Interlude : Shadow,150,259,124,mixed,english,rap
Epilogue: Young Forever,88,171,128,positive,korean,both
Don't Leave Me,147,227,145,mixed,japanese,both
FAKE LOVE,78,242,785,negative,korean,both
So 4 more,164,235,42,mixed,korean,both
House of Cards,105,226,150,negative,korean,vocal
Outro: Propose,174,122,34,positive,korean,vocal
2! 3!,170,272,109,positive,korean,both
Inner Child,135,233,184,mixed,korean,vocal
We Are Bulletproof Pt.2,144,224,131,positive,korean,both
Coffee,92,260,97,mixed,korean,both
Make It Right,106,226,303,positive,korean,both
If I Ruled the World,96,247,31,positive,korean,both
Outro: Wings,125,225,131,positive,english,both
Take Two,93,229,251,positive,english,both
Boyz with Fun,116,244,107,positive,korean,both
Telepathy,105,202,222,positive,korean,both
line!Pt.2 - Ano Bashode -,95,235,23,mixed,japanese,both
Dope,154,240,338,positive,korean,both
Louder than bombs,146,217,191,negative,korean,both
Permission to Dance,125,187,668,positive,english,both
MIC Drop,170,238,233,positive,korean,both
Intro: Boy Meets Evil,130,121,115,negative,korean,rap
Tear,140,284,167,negative,korean,rap
INTRO : Calling,145,84,12,positive,japanese,both
Stay,126,204,187,positive,korean,both
Hold Me Tight,140,274,133,negative,korean,both
Wishing On A Star,180,271,21,positive,japanese,both
Intro: Skool Luv Affair,94,178,23,positive,korean,rap
Ma City,122,256,80,positive,korean,both
Lights,99,292,208,positive,japanese,both
Airplane pt.2,140,218,328,mixed,korean,both
Blood Sweat & Tears,93,217,556,negative,korean,both
Tomorrow,128,261,82,positive,korean,both
My Time,100,234,257,mixed,english,vocal
Dynamite,114,199,1851,positive,english,both
ON,106,246,447,positive,korean,both
Run BTS,77,204,428,positive,korean,both
Am I Wrong,108,213,73,negative,korean,both
Let Go,174,299,154,negative,japanese,both
Moving On,160,292,50,mixed,korean,both
For Youth,117,264,138,positive,korean,both
Epiphany,136,240,268,positive,korean,vocal
The Truth Untold,113,242,354,negative,korean,vocal
00:00 (Zero O'Clock),158,250,238,mixed,korean,vocal
N.O,147,209,88,negative,korean,both
Converse High,98,209,83,positive,korean,both
I'm Fine,88,240,190,positive,korean,both
Lie,94,215,240,negative,korean,vocal
Her,90,228,108,mixed,korean,rap
IDOL,126,222,453,positive,korean,both
Moon,142,208,207,positive,korean,vocal
The Stars,170,255,8,positive,japanese,both
Boy in Luv,166,230,243,mixed,korean,both
Outro: Do You Think It Makes Sense?,103,172,26,negative,english,vocal
Save Me,140,196,318,negative,korean,both
No More Dream,168,222,181,negative,korean,both
My Universe,105,228,1252,positive,english,both
Miss Right,93,241,36,positive,korean,both
Attack on Bangtan,118,246,72,positive,korean,both
Trivia 轉: Seesaw,107,246,228,negative,korean,rap
Best Of Me,122,227,277,mixed,korean,both
Euphoria,105,228,575,positive,korean,vocal
We On,97,230,34,positive,korean,both
Film out,164,214,253,negative,japanese,both
Love Is Not Over,103,221,56,negative,korean,both
Burning Up (FIRE),100,203,341,positive,korean,both
First Love,87,189,74,positive,korean,rap
Black Swan,147,198,455,mixed,english,both
Butterfly,150,238,256,mixed,korean,both
A Brand New Day,105,205,105,positive,korean,both
Go Go,136,235,354,positive,korean,both
Come Back Home,100,244,59,positive,english,both
24/7=Heaven,96,226,32,positive,korean,both
Dis-ease,101,239,182,negative,korean,both
Pied Piper,94,245,342,mixed,korean,both
Yet To Come,172,193,341,positive,korean,both
Intro : Persona,85,171,178,mixed,english,rap
Outro: Luv in Skool,132,86,26,positive,korean,vocal
dimple,135,196,336,mixed,korean,vocal
Blue & Grey,122,254,258,negative,korean,both
Rain,90,264,58,negative,korean,both
BTS Cypher Pt.3: Killer,140,267,92,positive,korean,rap
Jump,102,236,108,positive,korean,both
Intro: What Am I to You,84,165,18,mixed,korean,rap
